"Story","Title","Result","Date","Stability","Duration (s)"
"Logout","logout with valid token","FAILURE","2022-12-19T16:05:44.453196+07:00[Asia/Jakarta]","0.0","7.49"
"Register","Register with name phone_number email password","FAILURE","2022-12-19T16:05:44.7490126+07:00[Asia/Jakarta]","0.0","7.19"
