"Story","Title","Result","Date","Stability","Duration (s)"
"Login","login with email password valid","SUCCESS","2022-12-22T23:31:43.3752564+07:00[Asia/Jakarta]","0.0","6.22"
"Login","login with email valid and no password","SUCCESS","2022-12-22T23:31:49.7333294+07:00[Asia/Jakarta]","0.0","0.94"
"Login","login with password valid and no email","SUCCESS","2022-12-22T23:31:50.6897362+07:00[Asia/Jakarta]","0.0","0.25"
"Login","login with null data","SUCCESS","2022-12-22T23:31:50.9585705+07:00[Asia/Jakarta]","0.0","0.2"
"Login","login with email and password invalid","SUCCESS","2022-12-22T23:31:51.1764338+07:00[Asia/Jakarta]","0.0","0.3"
"Login","login with email valid and password invalid","SUCCESS","2022-12-22T23:31:51.5142257+07:00[Asia/Jakarta]","0.0","0.27"
"Login","login with email invalid and password valid","SUCCESS","2022-12-22T23:31:51.8070438+07:00[Asia/Jakarta]","0.0","0.19"
