"Story","Title","Result","Date","Stability","Duration (s)"
"Register","Register with phone_number email password","SUCCESS","2022-12-22T23:31:50.4638763+07:00[Asia/Jakarta]","0.0","0.53"
"Register","Register with name email password","SUCCESS","2022-12-22T23:31:51.0055405+07:00[Asia/Jakarta]","0.0","0.26"
"Register","Register with name phone_number password","SUCCESS","2022-12-22T23:31:51.2813702+07:00[Asia/Jakarta]","0.0","1.17"
"Register","Register with name phone_number email","SUCCESS","2022-12-22T23:31:52.4686354+07:00[Asia/Jakarta]","0.0","0.82"
"Register","Register with no data","SUCCESS","2022-12-22T23:31:53.3409585+07:00[Asia/Jakarta]","0.0","0.14"
"Register","Register with register account","SUCCESS","2022-12-22T23:31:53.4908673+07:00[Asia/Jakarta]","0.0","0.22"
